2016-02-06 15:14:56,Running,,2.10,20:07,9:35,6.26,275.999999841024,40.00,162,"TomTom MySports Watch",2016-02-06-1514.gpx
2016-02-06 10:57:07,Strength Training,,0.00,47:15,,,330.0,,88,"TomTom MySports Watch",
2016-02-04 16:20:29,Other,,3.10,1:21:00,26:08,2.30,310.0,,,"Soccer - Pick-up",
2016-02-04 06:13:50,Strength Training,,0.00,23:42,,,40.0,0.00,,,
2016-01-30 15:09:33,Hiking,,2.98,1:07:05,22:29,2.67,369.0,46.36,,"TomTom MySports Watch",2016-01-30-1509.gpx
2016-01-30 10:03:30,Running,,6.22,55:24,8:55,6.73,812.999999531712,152.07,170,"TomTom MySports Watch",2016-01-30-1003.gpx
2016-01-28 18:08:14,Other,,3.10,1:14:00,23:52,2.51,310.0,,135,"Soccer - Indoor Pick Up",
2016-01-26 17:25:18,Running,,3.01,23:13,7:43,7.77,373.999999784576,51.18,,"TomTom MySports Watch",2016-01-26-1725.gpx
2016-01-24 19:38:58,Other,,4.00,1:24:00,21:00,2.86,400.0,,150,"Soccer - Indoor Game",
2016-01-24 15:42:31,Other,,3.50,1:30:00,25:43,2.33,300.0,,135,"Soccer - Practice",
2016-01-23 15:36:08,Running,,3.18,29:16,9:13,6.51,417.999999759232,74.00,,"TomTom MySports Watch",2016-01-23-1536.gpx
2016-01-23 10:37:07,Strength Training,,0.00,38:17,,,65.0,0.00,95,,
2016-01-21 16:17:32,Sports,,0.00,1:12:55,,,513.0,,,"TomTom MySports Watch",
2016-01-21 06:12:51,Strength Training,,0.00,19:28,,,33.0,0.00,,,
2016-01-20 16:10:33,Running,,3.00,29:27,9:49,6.11,393.999999773056,76.36,165,"TomTom MySports Watch",2016-01-20-1610.gpx
2016-01-18 18:08:01,Strength Training,,0.00,16:38,,,118.0,,118,"TomTom MySports Watch",
2016-01-18 14:43:58,Running,,6.01,51:00,8:30,7.06,772.999999554752,156.27,162,"TomTom MySports Watch",2016-01-18-1443.gpx
2016-01-17 17:50:17,Sports,,0.00,1:20:00,,,545.333333333333,,,,
2016-01-16 16:10:59,Running,,3.60,30:00,8:19,7.21,466.999999731008,57.91,163,"TomTom MySports Watch",2016-01-16-1610.gpx
2016-01-16 10:28:21,Strength Training,,0.01,49:15,5264:30,0.01,81.0,0.00,,,2016-01-16-1028.gpx
2016-01-14 16:02:49,Sports,,0.00,1:23:00,,,575.466666666667,,,,
2016-01-14 06:14:12,Strength Training,,0.00,19:41,12546:11,0.00,33.0,0.00,,,2016-01-14-0614.gpx
2016-01-13 17:03:07,Running,,4.00,33:14,8:18,7.23,509.99999970624,58.00,175,"TomTom MySports Watch",2016-01-13-1703.gpx
2016-01-11 17:34:30,Strength Training,,,23:09,,,0.0,0.00,115,,
2016-01-11 16:04:24,Running,,6.00,54:29,9:05,6.61,763.999999559936,155.82,157,"TomTom MySports Watch",2016-01-11-1604.gpx
2016-01-10 12:20:00,Sports,,0.00,1:20:00,,,529.0,,150,,
2016-01-09 13:35:04,Strength Training,,0.06,37:19,583:00,0.10,63.0,0.42,,,2016-01-09-1335.gpx
2016-01-09 10:32:17,Running,,7.27,1:00:01,8:15,7.27,939.99999945856,123.27,165,"TomTom MySports Watch",2016-01-09-1032.gpx
2016-01-07 16:55:35,Sports,,0.00,1:00:00,,,397.0,,135,,
2016-01-07 06:16:40,Strength Training,,0.00,22:36,6257:28,0.01,36.0,0.00,104,,2016-01-07-0616.gpx
2016-01-06 16:39:45,Running,,4.00,34:29,8:37,6.96,502.999999710272,99.55,168,"TomTom MySports Watch",2016-01-06-1639.gpx
2016-01-04 14:45:27,Strength Training,,0.00,28:50,,,46.0,0.00,,,
2016-01-04 11:04:05,Hiking,,2.30,49:30,21:34,2.78,264.0,35.73,,,2016-01-04-1104.gpx
2016-01-02 11:14:24,Hiking,,3.08,1:21:06,26:18,2.28,378.0,50.18,,,2016-01-02-1114.gpx
2015-12-31 10:31:00,Running,,7.00,57:44,8:15,7.27,889.99999948736,284.55,171,"TomTom MySports Watch",2015-12-31-1031.gpx
2015-12-29 10:18:36,Running,,3.20,27:18,8:32,7.04,407.999999764992,158.64,175,"TomTom MySports Watch",2015-12-29-1018.gpx
2015-12-28 14:48:38,Strength Training,,0.00,14:25,,,23.0,0.00,97,,
2015-12-27 17:00:00,Strength Training,,0.00,45:00,,,298.0,,105,,
2015-12-27 16:22:01,Running,,1.13,49:48,43:54,1.37,116.999999932608,,,"TomTom MySports Watch",
2015-12-27 11:02:49,Running,,4.56,40:04,8:48,6.82,582.999999664192,101.88,162,"TomTom MySports Watch",2015-12-27-1102.gpx
2015-12-24 11:15:40,Strength Training,,0.00,16:57,,,45.999999973504,,101,"TomTom MySports Watch",
2015-12-24 08:27:52,Running,,2.55,29:45,11:40,5.14,306.999999823168,51.91,141,"TomTom MySports Watch",2015-12-24-0827.gpx
2015-12-23 10:09:14,Running,,8.00,1:11:43,8:58,6.70,1048.99999939578,125.09,167,"TomTom MySports Watch",2015-12-23-1009.gpx
